,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
24554,waver,['verb'],0,110,2.04532297879,0.00900900900901,False,False,False,False,True,1,0.0,0.680791,0.0,complex
24578,reverberate,['verb'],0,36,1.56820172407,0.027027027027,False,False,False,False,True,0,0.064189,0.239865,0.064189,obscure
24704,chomp,['verb'],0,24,1.39794000867,0.04,False,False,False,False,True,1,0.196429,0.21875,0.138393,monomorphemic
26027,predominate,['verb'],0,60,1.78532983501,0.016393442623,False,False,False,False,True,1,0.14792,0.506566,0.118336,complex
26106,regress,['verb'],0,24,1.39794000867,0.04,False,False,False,False,True,0,0.117273,0.524424,0.117263,may_include_a_root
26109,skive,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,False,True,1,,,,monomorphemic
26557,sunbathe,['verb'],0,30,1.49136169383,0.0322580645161,False,False,False,False,True,1,0.354444,0.363577,0.305104,complex
26569,burgeon,['verb'],0,45,1.66275783168,0.0217391304348,False,False,False,False,True,0,0.420168,0.405462,0.348688,may_include_a_root
26586,appear,['verb'],0,5226,3.7182525001,0.000191314329443,False,False,False,False,True,1,0.0,0.204464,0.0,monomorphemic
26626,gesticulate,['verb'],0,46,1.67209785794,0.0212765957447,False,False,False,False,True,0,0.081818,0.613636,0.081818,obscure
27081,menstruate,['verb'],0,26,1.43136376416,0.037037037037,False,False,False,False,True,0,0.123077,0.738462,0.123077,obscure
27088,cogitate,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,0.210738,0.524777,0.210738,obscure
27236,expatiate,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,0.0,0.225806,0.0,obscure
27245,speechify,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,1,0.083333,0.687501,0.0625,complex
27433,intervene,['verb'],0,247,2.39445168083,0.00403225806452,False,False,False,False,True,0,0.104923,0.461193,0.078692,obscure
27605,lip-read,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,1,0.147208,0.791878,0.147208,complex
27644,dally,['verb'],0,29,1.47712125472,0.0333333333333,False,False,False,False,True,0,0.0,0.415489,0.0,may_include_a_root
27736,womanize,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,1,0.122093,0.877907,0.122093,complex
27841,reappear,['verb'],0,147,2.17026171539,0.00675675675676,False,False,False,False,True,1,0.11017,0.443232,0.05508,complex
27956,ruminate,['verb'],0,15,1.20411998266,0.0625,False,False,False,False,True,0,0.0,0.360185,0.0,obscure
28098,atone,['verb'],0,15,1.20411998266,0.0625,False,False,False,False,True,1,0.100184,0.207246,0.066789,monomorphemic
28510,oversleep,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,False,True,1,0.065868,0.934132,0.065868,complex
28854,miscarry,['verb'],0,13,1.14612803568,0.0714285714286,False,False,False,False,True,1,0.532595,0.329773,0.332923,complex
28868,persist,['verb'],0,428,2.63245729218,0.002331002331,False,False,False,False,True,0,0.21641,0.364828,0.132811,may_include_a_root
28928,dodder,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,0,0.489791,0.428568,0.40816,may_include_a_root
28983,loiter,['verb'],0,50,1.7075701761,0.0196078431373,False,False,False,False,True,0,0.110048,0.350916,0.110048,may_include_a_root
29168,convalesce,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,False,True,0,0.0,0.415677,0.0,obscure
29260,commentate,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,1,0.064103,0.333333,0.064103,complex
29620,yammer,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,0.206895,0.43104,0.206895,may_include_a_root
30058,supervene,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,0,0.234254,0.439292,0.12758,obscure
30338,hark,['verb'],0,36,1.56820172407,0.027027027027,False,False,False,False,True,1,0.0,0.43477,0.0,monomorphemic
31154,eavesdrop,['verb'],0,29,1.47712125472,0.0333333333333,False,False,False,False,True,1,0.066964,0.455357,0.066964,complex
31201,scoot,['verb'],0,23,1.38021124171,0.0416666666667,False,False,False,False,True,1,0.226767,0.267551,0.189699,monomorphemic
31274,liaise,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,False,True,1,0.104943,0.348692,0.078707,monomorphemic
31815,aspire,['verb'],0,127,2.10720996965,0.0078125,False,False,False,False,True,0,0.216037,0.160795,0.135023,may_include_a_root
31954,erupt,['verb'],0,106,2.02938377769,0.00934579439252,False,False,False,False,True,0,0.110424,0.376535,0.055212,obscure
31976,accede,['verb'],0,36,1.56820172407,0.027027027027,False,False,False,False,True,0,0.0,0.183926,0.0,may_include_a_root
32328,attitudinize,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,1,0.333333,0.666667,0.333333,complex
32336,encroach,['verb'],0,41,1.6232492904,0.0238095238095,False,False,False,False,True,0,0.152263,0.294729,0.152263,obscure
32381,emerge,['verb'],0,1433,3.15654915133,0.000697350069735,False,False,False,False,True,0,0.1081,0.377108,0.05405,may_include_a_root
32459,play-act,['verb'],0,12,1.11394335231,0.0769230769231,False,False,False,False,True,1,,,,complex
32683,partake,['verb'],0,29,1.47712125472,0.0333333333333,False,False,False,False,True,1,0.081395,0.453488,0.081395,complex
32841,respire,['verb'],0,4,0.698970004336,0.2,False,False,False,False,True,0,0.210526,0.473685,0.105263,may_include_a_root
32949,ululate,['verb'],0,7,0.903089986992,0.125,False,False,False,False,True,0,0.151724,0.703447,0.096552,obscure
33000,unbend,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,False,True,1,0.266667,0.483333,0.266667,complex
33019,philosophize,['verb'],0,3,0.602059991328,0.25,False,False,False,False,True,1,0.0,0.701245,0.0,complex
33114,proceed,['verb'],0,726,2.86153441086,0.00137551581843,False,False,False,False,True,0,0.08882,0.29411,0.08882,may_include_a_root
33143,domineer,['verb'],0,39,1.60205999133,0.025,False,False,False,False,True,0,0.333333,0.333333,0.333333,obscure
33263,adhere,['verb'],0,98,1.9956351946,0.010101010101,False,False,False,False,True,0,1e-05,0.193872,0.0,obscure
33763,ovulate,['verb'],0,3,0.602059991328,0.25,False,False,False,False,True,0,0.228261,0.597826,0.228261,obscure
34037,glisten,['verb'],0,157,2.19865708695,0.00632911392405,False,False,False,False,True,0,0.155243,0.335432,0.116432,may_include_a_root
34042,glister,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,False,True,0,0.0,1.0,0.0,may_include_a_root
34149,kneel,['verb'],0,406,2.60959440923,0.002457002457,False,False,False,False,True,1,0.184941,0.370642,0.138706,monomorphemic
34244,disapprove,['verb'],0,157,2.19865708695,0.00632911392405,False,False,False,False,True,1,0.277618,0.296488,0.235853,complex
34761,goggle,['verb'],0,19,1.30102999566,0.05,False,False,False,False,True,1,0.132653,0.367347,0.132653,monomorphemic
34813,shall,['verb'],0,4118,3.61479179196,0.000242777373149,False,False,False,False,True,1,,,,monomorphemic
34854,busk,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,False,True,1,0.149485,0.603093,0.149485,monomorphemic
35093,meddle,['verb'],0,56,1.75587485567,0.0175438596491,False,False,False,False,True,1,0.106038,0.38326,0.079528,monomorphemic
35466,cower,['verb'],0,42,1.63346845558,0.0232558139535,False,False,False,False,True,1,0.040541,0.295045,0.0,monomorphemic
35661,blab,['verb'],0,8,0.954242509439,0.111111111111,False,False,False,False,True,1,0.164702,0.623518,0.164702,monomorphemic
35812,wade,['verb'],0,149,2.17609125906,0.00666666666667,False,False,False,False,True,1,0.200853,0.244288,0.160711,monomorphemic
35973,teem,['verb'],0,29,1.47712125472,0.0333333333333,False,False,False,False,True,1,0.139153,0.306498,0.088643,monomorphemic
36135,differ,['verb'],0,408,2.61172330801,0.00244498777506,False,False,False,False,True,0,0.082513,0.510341,0.082503,may_include_a_root
36454,coexist,['verb'],0,27,1.44715803134,0.0357142857143,False,False,False,False,True,1,0.149105,0.435081,0.115943,complex
36775,acquiesce,['verb'],0,34,1.54406804435,0.0285714285714,False,False,False,False,True,0,0.0,0.439845,0.0,obscure
37004,preside,['verb'],0,190,2.28103336725,0.00523560209424,False,False,False,False,True,0,0.155064,0.334224,0.118584,obscure
37038,jubilate,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,False,True,0,,,,obscure
37200,encamp,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,False,True,1,0.536459,0.135416,0.182292,complex
37817,grapple,['verb'],0,77,1.89209460269,0.0128205128205,False,False,False,False,True,1,0.263244,0.245542,0.087748,monomorphemic
37995,orate,['verb'],0,10,1.04139268516,0.0909090909091,False,False,False,False,True,0,0.150009,0.399996,0.149999,obscure
38014,gyrate,['verb'],0,12,1.11394335231,0.0769230769231,False,False,False,False,True,0,0.121066,0.375302,0.077482,obscure
38092,gawp,['verb'],0,13,1.14612803568,0.0714285714286,False,False,False,False,True,1,0.052288,0.411765,0.0,monomorphemic
38235,interrelate,['verb'],0,42,1.63346845558,0.0232558139535,False,False,False,False,True,1,0.717376,0.141312,0.516293,complex
