word,category,type,rel_type,freq,Nfreq,Vfreq,lemmalogfreq,logNfreq,logVfreq,NVratio,Vcatfreq,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nplural,Nsing,Ncollect,Nuncollect,Nmorph,Categories,MorphStatus,NPrel,SCrel,Nonerel,NPOnlyrel,entropy,bareformlength,Sform,edform,bareform,Sformlength,edformlength
sibling,n,count,rel,38,38,0,1.591064607,1.591064607,0,39,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,7,siblings,siblinged,sibling,8,9
spouse,n,count,rel,72,72,0,1.86332286,1.86332286,0,73,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,spouses,spoused,spouse,7,8
speed,n,count,rel,1736,1438,298,3.239799818,3.158060794,2.475671188,4.81270903,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb']",zero_derivation,0.385153,0,0.335352,0.306184,2.076212531,5,speeds,speded,speed,6,7
weight,n,count,rel,1846,1803,43,3.266466895,3.256236533,1.643452676,41,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb']",monomorphemic,0.369083,0.116662,0.116672,0.191876,2.735500671,6,weights,weighted,weight,7,8
student,n,count,rel,5453,5453,0,3.736715134,3.736715134,0,5454,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,7,students,studented,student,8,9
value,n,count,rel,3287,3097,190,3.516931809,3.491081413,2.281033367,16.21989529,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'verb']",monomorphemic,0.620664,0.060878,0.089848,0.356129,2.424254568,5,values,valued,value,6,7
distance,n,count,rel,1856,1841,15,3.268811904,3.265289626,1.204119983,115.125,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"['noun', 'verb']",complex,0.865143,0,0.026971,0.396604,1.839468569,8,distances,distanced,distance,9,10
price,n,count,rel,2977,2875,102,3.473924693,3.458788882,2.012837225,27.9223301,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"['noun', 'verb']",monomorphemic,0.687057,0,0.071762,0.418087,2.028249356,5,prices,priced,price,6,7
audience,n,count,rel,1355,1355,0,3.13225969,3.13225969,0,1356,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,['noun'],obscure,,,,,,8,audiences,audienced,audience,9,10
veteran,n,count,rel,211,140,0,2.326335861,2.149219113,0,141,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"['noun', 'adjective']",may_include_a_root,,,,,,7,veterans,veteraned,veteran,8,9
thief,n,count,rel,213,213,0,2.330413773,2.330413773,0,214,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,thieves,thieved,thief,6,7
passenger,n,count,rel,730,730,0,2.863917377,2.863917377,0,731,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,9,passengers,passengered,passenger,10,11
interior,n,count,rel,507,355,0,2.705863712,2.551449998,0,356,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'adjective']",zero_derivation,,,,,,8,interiors,interiored,interior,9,10
