,target,Categories,Nfreq,Vfreq,freq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
10191,abdicate,['verb'],0,40,40,0.0243902439024,False,False,False,True,True,0,obscure,norel
10333,officiate,['verb'],0,20,20,0.047619047619,False,False,False,False,True,1,complex,norel
10342,amass,['verb'],0,39,39,0.025,False,False,False,True,True,0,obscure,norel
10356,toughen,['verb'],0,24,24,0.04,False,False,False,True,True,1,complex,norel
10387,niggle,['verb'],0,13,13,0.0714285714286,False,False,False,False,True,1,monomorphemic,norel
10397,stifle,['verb'],0,156,156,0.00636942675159,False,False,False,True,True,1,monomorphemic,norel
10419,cringe,['verb'],0,47,47,0.0208333333333,False,False,False,False,True,1,monomorphemic,norel
10529,shirk,['verb'],0,18,18,0.0526315789474,False,False,False,True,True,1,monomorphemic,norel
10649,etch,['verb'],0,53,53,0.0185185185185,False,False,False,True,True,1,monomorphemic,norel
10666,shew,['verb'],0,4,4,0.2,False,False,True,True,True,1,monomorphemic,norel
10769,idealize,['verb'],0,54,54,0.0181818181818,False,False,False,True,True,1,complex,norel
10802,gloat,['verb'],0,28,28,0.0344827586207,False,False,False,False,True,1,monomorphemic,norel
10841,procrastinate,['verb'],0,6,6,0.142857142857,False,False,False,False,True,0,obscure,norel
10860,fraternize,['verb'],0,4,4,0.2,False,False,False,False,True,1,complex,norel
10866,dissolve,['verb'],0,330,330,0.00302114803625,False,False,False,True,True,0,obscure,norel
10888,attend,['verb'],0,1340,1340,0.000745712155108,False,False,False,True,True,0,may_include_a_root,norel
10903,budge,['verb'],0,47,47,0.0208333333333,False,False,False,True,True,1,monomorphemic,norel
10913,ulcerate,['verb'],0,6,6,0.142857142857,False,False,False,True,True,1,complex,norel
10924,stridulate,['verb'],0,1,1,0.5,False,False,False,False,True,0,obscure,norel
10945,congregate,['verb'],0,43,43,0.0227272727273,False,False,False,True,True,0,obscure,norel
11022,diminish,['verb'],0,465,465,0.00214592274678,False,False,False,True,True,0,may_include_a_root,norel
11053,strangulate,['verb'],0,5,5,0.166666666667,False,False,False,True,True,1,complex,norel
11077,over-indulge,['verb'],0,10,10,0.0909090909091,False,False,False,False,True,1,complex,norel
11104,topple,['verb'],0,97,97,0.0102040816327,False,False,False,True,True,1,complex,norel
11105,skimp,['verb'],0,19,19,0.05,False,False,False,True,True,1,monomorphemic,norel
11126,editorialize,['verb'],0,3,3,0.25,False,False,False,False,True,1,complex,norel
11262,disagree,['verb'],0,257,257,0.00387596899225,False,False,False,False,True,1,complex,norel
11287,distend,['verb'],0,36,36,0.027027027027,False,False,False,True,True,0,obscure,norel
11341,synchronize,['verb'],0,24,24,0.04,False,False,False,True,True,1,complex,norel
11575,relax,['verb'],0,958,958,0.00104275286757,False,False,False,True,True,0,may_include_a_root,norel
11583,debark,['verb'],0,10,10,0.0909090909091,False,False,False,True,True,1,complex,norel
11586,straddle,['verb'],0,50,50,0.0196078431373,False,False,False,True,True,1,monomorphemic,norel
11640,vary,['verb'],0,1010,1010,0.000989119683482,False,False,False,True,True,1,monomorphemic,norel
11688,ameliorate,['verb'],0,18,18,0.0526315789474,False,False,False,True,True,0,obscure,norel
11710,knit,['verb'],0,169,169,0.00588235294118,False,False,True,True,True,1,monomorphemic,norel
11735,declaim,['verb'],0,17,17,0.0555555555556,False,False,False,True,True,1,complex,norel
11845,respond,['verb'],0,920,920,0.00108577633008,False,False,False,True,True,1,monomorphemic,norel
12018,collectivize,['verb'],0,25,25,0.0384615384615,False,False,False,True,True,1,complex,norel
12059,germinate,['verb'],0,24,24,0.04,False,False,False,True,True,0,obscure,norel
12112,straggle,['verb'],0,35,35,0.0277777777778,False,False,False,False,True,1,monomorphemic,norel
12138,exist,['verb'],0,2361,2361,0.000423370025402,False,False,False,False,True,0,may_include_a_root,norel
12200,mourn,['verb'],0,110,110,0.00900900900901,False,False,False,True,True,1,monomorphemic,norel
12202,overstock,['verb'],0,9,9,0.1,False,False,False,True,True,1,complex,norel
12210,overarch,['verb'],0,5,5,0.166666666667,False,False,False,True,True,1,complex,norel
12247,abscond,['verb'],0,5,5,0.166666666667,False,False,False,False,True,0,may_include_a_root,norel
12286,dangle,['verb'],0,175,175,0.00568181818182,False,False,False,True,True,1,monomorphemic,norel
12303,degrade,['verb'],0,139,139,0.00714285714286,False,False,False,True,True,1,complex,norel
12331,write,['verb'],0,8317,8317,0.000120221207021,False,False,True,True,True,1,monomorphemic,norel
12338,cavil,['verb'],0,8,8,0.111111111111,False,False,False,False,True,1,monomorphemic,norel
12472,indicate,['verb'],0,1348,1348,0.000741289844329,False,False,False,True,True,0,obscure,norel
12511,knead,['verb'],0,52,52,0.0188679245283,False,False,False,True,True,1,monomorphemic,norel
12538,intoxicate,['verb'],0,42,42,0.0232558139535,False,False,False,True,True,1,complex,norel
12570,assimilate,['verb'],0,113,113,0.00877192982456,False,False,False,True,True,1,complex,norel
12649,carve,['verb'],0,350,350,0.002849002849,False,False,True,True,True,1,monomorphemic,norel
12720,overcompensate,['verb'],0,7,7,0.125,False,False,False,False,True,1,complex,norel
12750,vivisect,['verb'],0,1,1,0.5,False,False,False,True,True,0,may_include_a_root,norel
12814,defrost,['verb'],0,16,16,0.0588235294118,False,False,False,True,True,1,complex,norel
12829,attenuate,['verb'],0,21,21,0.0454545454545,False,False,False,True,True,0,obscure,norel
12834,suppurate,['verb'],0,12,12,0.0769230769231,False,False,False,False,True,0,obscure,norel
12837,agree,['verb'],0,3424,3424,0.00029197080292,False,False,False,True,True,1,monomorphemic,norel
12947,totalize,['verb'],0,1,1,0.5,False,False,False,True,True,1,complex,norel
12981,skyrocket,['verb'],0,7,7,0.125,False,False,False,False,True,1,complex,norel
13040,accept,['verb'],0,3712,3712,0.000269323996768,False,False,False,True,True,0,may_include_a_root,norel
13060,cling,['verb'],0,489,489,0.00204081632653,False,False,False,False,True,1,monomorphemic,norel
13104,coarsen,['verb'],0,16,16,0.0588235294118,False,False,False,True,True,1,complex,norel
13112,propose,['verb'],0,1132,1132,0.000882612533098,False,False,False,True,True,1,complex,norel
13215,consult,['verb'],0,562,562,0.00177619893428,False,False,False,True,True,0,may_include_a_root,norel
13269,covet,['verb'],0,41,41,0.0238095238095,False,False,False,True,True,1,monomorphemic,norel
13323,sew,['verb'],0,201,201,0.0049504950495,False,False,False,True,True,1,monomorphemic,norel
13336,electioneer,['verb'],0,1,1,0.5,False,False,False,False,True,1,complex,norel
13427,vanish,['verb'],0,729,729,0.0013698630137,False,False,False,False,True,0,may_include_a_root,norel
13440,teeter,['verb'],0,47,47,0.0208333333333,False,False,False,False,True,1,monomorphemic,norel
13503,constipate,['verb'],0,1,1,0.5,False,False,False,True,True,0,obscure,norel
13531,be,['verb'],0,687085,687085,1.45542188314e-06,False,False,False,False,True,1,monomorphemic,norel
13561,blench,['verb'],0,9,9,0.1,False,False,False,False,True,1,monomorphemic,norel
13569,chide,['verb'],0,34,34,0.0285714285714,False,False,False,False,True,1,monomorphemic,norel
13657,resonate,['verb'],0,21,21,0.0454545454545,False,False,False,False,True,0,obscure,norel
13663,send,['verb'],0,4822,4822,0.000207339829981,False,False,True,True,True,1,monomorphemic,norel
13742,mortify,['verb'],0,22,22,0.0434782608696,False,False,False,True,True,0,obscure,norel
13814,lactate,['verb'],0,7,7,0.125,False,False,False,False,True,0,obscure,norel
13832,comply,['verb'],0,112,112,0.00884955752212,False,False,False,False,True,0,may_include_a_root,norel
13844,merge,['verb'],0,212,212,0.00469483568075,False,False,False,True,True,1,monomorphemic,norel
13942,misunderstand,['verb'],0,137,137,0.00724637681159,False,False,False,True,True,1,complex,norel
13971,soar,['verb'],0,180,180,0.00552486187845,False,False,False,False,True,1,monomorphemic,norel
14006,flinch,['verb'],0,94,94,0.0105263157895,False,False,False,False,True,1,monomorphemic,norel
14263,overestimate,['verb'],0,48,48,0.0204081632653,False,False,False,True,True,1,complex,norel
14265,dive-bomb,['verb'],0,4,4,0.2,False,False,False,True,True,1,complex,norel
14291,freewheel,['verb'],0,11,11,0.0833333333333,False,False,False,False,True,1,complex,norel
14356,restock,['verb'],0,12,12,0.0769230769231,False,False,False,True,True,1,complex,norel
14378,generalize,['verb'],0,124,124,0.008,False,False,False,True,True,1,complex,norel
14398,burgle,['verb'],0,17,17,0.0555555555556,False,False,False,True,True,1,monomorphemic,norel
14435,vegetate,['verb'],0,10,10,0.0909090909091,False,False,False,False,True,0,obscure,norel
14457,grovel,['verb'],0,21,21,0.0454545454545,False,False,False,False,True,1,monomorphemic,norel
14551,dogmatize,['verb'],0,8,8,0.111111111111,False,False,False,True,True,1,complex,norel
14608,inflate,['verb'],0,59,59,0.0166666666667,False,False,False,True,True,0,may_include_a_root,norel
14610,totter,['verb'],0,90,90,0.010989010989,False,False,False,False,True,1,monomorphemic,norel
14648,sue,['verb'],0,220,220,0.00452488687783,False,False,False,True,True,1,monomorphemic,norel
14721,bicker,['verb'],0,23,23,0.0416666666667,False,False,False,False,True,0,may_include_a_root,norel
14881,grizzle,['verb'],0,5,5,0.166666666667,False,False,False,True,True,1,monomorphemic,norel
