,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
1135,gridiron,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1147,purse-snatcher,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,2,,,,complex
1155,spyglass,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1156,sausage-roll,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1161,photon,['noun'],30,0,1.49136169383,31.0,True,False,False,False,False,1,,,,complex
1170,defeatist,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,2,,,,complex
1173,squeezer,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
1178,crossbencher,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1179,eightpence,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
1180,situation,['noun'],3621,0,3.55894844598,3622.0,True,False,False,False,False,1,,,,complex
1181,penthouse,['noun'],23,0,1.38021124171,24.0,True,False,False,False,False,0,,,,obscure
1193,cafe,['noun'],440,0,2.64443858947,441.0,True,False,False,False,False,1,,,,monomorphemic
1196,running-board,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
1199,gelding,['noun'],9,0,1.0,10.0,True,False,False,False,False,1,,,,zero_derivation
1202,punching-ball,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
1203,aitch,['noun'],13,0,1.14612803568,14.0,True,False,False,False,False,1,,,,monomorphemic
1218,by-product,['noun'],74,0,1.87506126339,75.0,True,False,False,False,False,1,,,,complex
1220,agronomist,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,complex
1234,litterateur,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,monomorphemic
1237,steamer,['noun'],147,0,2.17026171539,148.0,True,False,False,False,False,1,,,,complex
1240,rover,['noun'],98,0,1.9956351946,99.0,True,False,False,False,False,1,,,,complex
1241,generator,['noun'],126,0,2.10380372096,127.0,True,False,False,False,False,1,,,,complex
1243,mandolin,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,1,,,,monomorphemic
